journal,cas_2025_major,cas_2025_minor,is_top,impact_factor,oa_apc,review_weeks,scope_fit_1to10,example_paper_doi,notes,confidence
Journal of Rural Studies,社会学1区,—,待确认,5.7(2026口径),Elsevier混合;APC待确认,待确认,6,10.1016/j.jrurstud.2025.103592,"例文:Xu&Cao2025中国育种体制史(社会主义协作到联合攻关);Chen2024农业创新体系与治理。定性传统强,定量品种数据分析非主流",中
Agribusiness,基础版3区/新锐版3区,—,否,2.4,Wiley混合;APC待确认,待确认,8,10.1002/agr.21823,证据最强但分区不达标。例文:Xie2023种企主导订单农业与优质激励合同设计(与荃银种粮一体化直接对应);Su2022农企多元化与技术创新效率U型(对标荃银纵向延伸+财务后果);Xiang2025种业法规改革与品种许可费;Miao2026认证种子溢价支付意愿,中
Agricultural and Food Economics,基础版2区/新锐版2区,—,否,5.4,Springer全OA;APC待确认,待确认,7,10.1186/s40100-024-00330-w,"例文:Kala-Satheesh2024印度比哈尔邦种子市场动态与新麦品种扩散(供给侧视角)。与本文育种主体差异呼应,但中国样本例文缺失",中
Global Food Security,农林科学1区,—,是(1区Top),7.5;JCR Q1,Elsevier;APC待确认,待确认,5,10.1016/j.gfs.2019.05.001,"例文:Deconinck2019种子市场集中度新证据(short review)。该刊以short synthesis为主,不接受长篇原创实证",中
European Journal of Agronomy,农林科学1区,农艺学(区待确认),是(1区Top),6.7/5.5,Elsevier混合;APC待确认,待确认,6,10.1016/J.EJA.2021.126239,例文:Wang2021品种选育提升生产力与产量对气候资源敏感性。偏栽培生理与作物模型,中
Agronomy for Sustainable Development,农林科学1区,—,是(1区Top),8.2;5年IF10.2;JCR Q1,Springer混合;APC待确认,待确认,4,NA,"本次未检索到中国种业/杂交稻/品种审定数据同类例文,可发表性证据缺失。偏可持续农业系统与农生态",中低
Food and Energy Security,待确认,—,待确认,待确认,Wiley全OA;CC-BY;APC待确认;提供Free Format submission,待确认,6,10.1002/FES3.299,例文:Li2021年际气候变率制约中国水稻遗传改良(直接同类);Zhou2025机械化再生稻氮素;Xiao&Kerr2022中国转基因商业化政治经济学。分区与IF均待确认,中低
Crop Science,新锐版3区(基础版待确认),农艺学,否,1.9(letpub标题),Wiley/CSSA混合;APC待确认,待确认,6,10.1002/csc2.20608,例文:Yang2021西南旱地冬小麦1965年以来遗传进展(中国样本);Liu2021西南小麦1969-2012遗传进展;Gill2025美国北部平原春小麦60年遗传增益。接受遗传增益分析但分区低,中低
Euphytica,农林科学3区,农艺学3区;园艺3区;植物科学3区,否,"1.8(2026-06-17发布,基于2025引文);JCR Q2;CiteScore3.4",Springer混合;APC待确认,待确认,4,NA,本次未检索到同类例文。以育种理论与应用、种质资源为主,中低
Plant Breeding,农林科学3区,农艺学4区,否,待确认,Wiley混合;APC待确认,待确认,6,10.1111/pbr.70029,"例文:Achilli2025全球硬粒小麦遗传增益(产量/品质/气候适应)。接受遗传增益综述,但小类4区",中低
Agronomy Journal,农林科学3区,农艺学3区,否,2.0(letpub标题),Wiley/ASA混合;APC待确认,待确认,5,10.1002/agj2.70407,例文:Liu&Huang2026适应劳动力萎缩的水稻建植方式评估。偏栽培管理,中低
Molecular Breeding,基础版3区/新锐版2区,农艺学;遗传学;园艺;植物科学,否,3.6(另一源3.0/2.6);JCR Q1,Springer混合;APC待确认,待确认,4,10.1007/s11032-025-01555-3,"例文:Wang2025 Pigm基因改良TGMS系及其杂交种稻瘟抗性。以分子标记/基因聚合为主,不适合本文",中低
Journal of the Science of Food and Agriculture,新锐版2区(基础版待确认),—,否,3.5(letpub标题),Wiley混合;APC待确认,待确认,4,10.1002/jsfa.12091,例文:Yuan2022湖北再生稻头季与再生季稻米品质田间比较。以食品品质化学为主,中低
Plants (MDPI),生物学2区,植物科学2区,否,4.7(另一源4.1);JCR Q1,全OA;APC待确认(MDPI同量级),待确认,3,10.3390/plants12061389,"例文:Peng2023多基因聚合改良PTGMS系稻瘟抗性。以分子/生理为主,与本文产业主线不契合",中低
Journal of Agricultural Science (Cambridge),新锐版3区(基础版待确认),—,否,待确认,Cambridge混合;APC待确认,待确认,5,NA,本次未检索到同类例文,低
Renewable Agriculture and Food Systems,基础版3区/新锐版3区,—,否,2.4;JCR Q2,Cambridge混合;APC待确认,待确认,5,NA,本次未检索到同类例文,中低
International Journal of Agricultural Sustainability,基础版2区/新锐版2区,—,否,5.9,自Vol.21(2023)起全OA;APC金额待确认,待确认,3,NA,本次未检索到任何中国种业/杂交稻/品种审定同类例文。官方原话明确排斥:IJAS tends not to publish technical or experimental findings from field or laboratory based studies unless they explicitly and comprehensively discuss the sustainability aspects,中低
Outlook on Agriculture,基础版2区/新锐版2区,—,否,3.2,SAGE混合;APC待确认,待确认,4,NA,"本次未检索到同类例文。季刊,接受perspectives/reviews/original research;字数、摘要、参考文献细则待确认;投稿 journals.sagepub.com/author-instructions/oag",中低
Frontiers of Agricultural Science and Engineering,基础版3区,—,否,3.4;JCR Q1,中国工程院主办;APC待确认,待确认,5,10.15302/J-FASE-2025636,"检索到该刊2025年中国水稻绿色高产高效技术集成论文。季刊,以约稿综述为主,自由投稿录用不确定性高",中低
Plant Production Science,待确认,—,否,1.3;JCR Q3;5年IF2.3,T&F全OA(待确认),待确认,3,NA,分区过低且偏栽培生理;本次未检索到同类例文。不建议,低
