variety,study_ref,doi,role,site,year,trait,value,unit,note,confidence
新两优223 / 新两优6号,"刘环, 杜斌, 刘章勇, 何文静, 邱先进, 邢丹英, 徐建龙. 2015. 江汉平原“一种两收”优良水稻品种筛选. 30-35.",,材料(14品种再生稻筛选),湖北江汉平原,2015,两季总产范围,810.72-1111.3,kg/667m2,均值959.07 kg/667m2;对照丰两优香1号1005.02;新两优223与新两优6号均高于CK(未达显著);判定适宜作再生稻,medium
新两优6号,"曹伟波. 2006. 杂交水稻新品种比较试验. 广西农业科学.",,材料(14品种+CK培杂双七),广西灵山县,2006,较对照增产幅度,2.03-20.34,%,含新两优6号在内的8个品种增产区间;生育期130-151d,medium
新两优6号(不育系新安S),"林纲 等. 2007. 带浅褐色颖壳标记的籼型两用核不育系新安S的选育. 杂交水稻.",,亲本选育报告(荃银农业高科技研究所),安徽合肥,2005,育性转换起点温度CSIT,23.5,℃,≤23.5℃(14.5h日长);合肥不育期>30d;稻瘟病抗性1级;白叶枯病5级;新两优6号2006年农业部超级稻,medium
1892S (徽两优系列母本),"杨联松 等. 2012. 籼稻光敏核不育系1892S的选育及其应用研究.",,亲本选育报告,安徽,2004,花粉不育度/套袋自交不育度,99.97,%,不育率100%;起点温度23.5℃;不育期>30d;异交结实率>60%;米质GB/T 17891-1999三级,medium
荃两优851,"侯章梅 等. 2023. 宿迁市2021年杂交中籼稻品种安全性测试. 大麦与谷类科学, 40(1): 43-47.",,材料(安全性测试),江苏宿迁,2021,产量组别,>=10500,kg/hm2,抽穗期偏晚;开花灌浆期遇低温存在风险;同批徽两优001/荃9优220/徽两优华占/徽两优粤禾丝苗/徽两优996综合表现好适宜推广,high
荃优粤农丝苗 等粤农丝苗衍生品种,"何秀英, 刘维, 陆展华, 王晓飞, 王石光, 方志强, 巫浩翔, 陈浩. 2022. 广东优质稻粤农丝苗的衍生品种及其特征特性研究. 广东农业科学, 49(9).",10.16768/j.issn.1004-874X.2022.09.007,材料(衍生品种系统比较),广东,2022,区域试验较对照增产幅度,0.46-10.98,%,品质指标均达优质标准;耐热性除徽两优粤农丝苗外均为较强或强;荃优粤农丝苗已成当地主栽品种,high
荃优丝苗,"品种审定公告(交叉校验,非学术文献)",,审定数据,长江中下游,2021,区域试验亩产,624.0,kg/667m2,比对照增产2.2%;2022续试621.9(+4.0%);两年均623.0(+3.1%),medium
荃优丝苗,"品种审定公告(交叉校验,非学术文献)",,审定数据,长江中下游,2022,稻瘟病综合指数,3.3 / 3.6,级,两年值;穗颈瘟损失率最高5级;中感稻瘟病;整精米率68.1%;垩白度0.5%;直链淀粉16.4%;达NY/T593-2021二级,medium
荃优1606,"品种审定公告(国审稻20206016,交叉校验)",,审定数据,长江上游/中下游,2020,区试较对照增产,5.0 / 3.75,%,生产试验分别增产4.48%/5.94%;整精米率垩白度直链淀粉达一级,medium
荃两优1606,"品种审定公告(交叉校验)",,审定数据,长江中下游,2018,区域试验亩产,637.15,kg/667m2,2019续试664.84 kg/667m2;均增产>2%;整精米率66.0%;垩白度1.2%;直链淀粉16.0%;达二级,medium
荃优822,"品种审定公告(鄂审稻2016016,交叉校验)",,审定数据,湖北,2014-2015,两年区试平均亩产,665.80,kg/667m2,比丰两优四号增产3.84%,medium
荃优822,"品种审定公告(交叉校验)",,审定数据,长江中下游中籼迟熟组,2019,区试平均亩产,669.89,kg/667m2,比丰两优四号增产5.89%;2020续试623.54 kg/667m2(+4.93%),medium
荃9优607,"品种审定公告(交叉校验)",,审定数据,长江中下游,2017-2018,两年区试平均亩产,640.4,kg/667m2,比丰两优四号增产5.5%;2019生产试验656.7 kg/667m2(+6.0%);全生育期131.3d;株高128.8cm;穗长24.4cm;米质三级,medium
徽两优丝苗,"品种审定公告(交叉校验)",,审定数据,长江中下游,,全生育期,136.1,d,有效穗243万/hm2;株高111.6cm;穗长23.6cm;每穗总粒202.2;结实率83.6%;千粒重22.9g;亲本1892S x 五山丝苗,medium
