company,year,revenue_100m_CNY,gross_margin_pct,net_profit_attrib_100m_CNY,rd_investment_100m_CNY,rd_intensity_pct_of_revenue,national_approved_varieties,order_grain_revenue_100m_CNY,order_grain_share_of_revenue_pct,order_grain_gross_margin_pct,value_type_order_grain,note,source
"荃银高科 (Winall Hi-tech Seed, 300087)",2025,44.95,21.51,-2.12,2.033,4.52,57.0,,,,not available,,evidence/company_panel.csv; evidence/04_order_grain_timeseries.csv; evidence/01_company_financials.md
"荃银高科 (Winall Hi-tech Seed, 300087) [2026Q1, memo row - not FY]",2026,6.97,19.93,0.1139,,,,,,,not available,"2026Q1 only, not a fiscal year; order-grain business revenue -37.28% YoY per notes",evidence/company_panel.csv
登海种业 (2041),2025,11.02,,0.9165,,,,,,,not applicable (no order-grain segment reported),利润93%以上来自玉米杂交种；2025启动转基因大豆登海豆1号试点 | R&D: nan,GitHub chess99/trading-os 002041/2026-07-12.md 转引 https://www.sohu.com/a/1013085868_122021998 (confidence: 低-中)
大北农 (2385),2025,291.19,,-6.42,,,,,,,not applicable (no order-grain segment reported),种业收入15.28亿(玉米8.14亿、水稻5.62亿)；扣非-8.37亿 | R&D: nan,GitHub chess99/trading-os 002385/2026-07-12.md 转引 https://static.cninfo.com.cn/finalpage/2026-04-24/1225171414.PDF (confidence: 低-中)
国投丰乐(丰乐种业) (713),2025,29.03,,0.6602,,,,,,,not applicable (no order-grain segment reported),扣非0.6667亿(+29.21%)；2024转基因玉米种子销售700万公斤(第三方研报) | R&D: nan,GitHub chess99/trading-os 000713/2026-07-11.md；Ronchy2000 鳄鱼派研报2025-06-13 (confidence: 低-中)
神农种业(神农科技) (300189),2025,2.49,,1.07,,,,,,,not applicable (no order-grain segment reported),扣非仅434.16万元(净利主要来自非经常性项目) | R&D: nan,GitHub chess99/trading-os 300189/2026-07-13.md (confidence: 低-中)
垦丰种业 (831888),2024/2025,未找到,,未找到,,,,,,,not applicable (no order-grain segment reported),nan | R&D: nan,nan (confidence: —)
农发种业 (600313),2025,,,,,,,,,,not applicable (no order-grain segment reported),种子业务收入6.22亿(毛利率27.89%) | R&D: nan,GitHub chess99/trading-os 600313/2026-07-16.md (confidence: 低)
敦煌种业 (600354),2025,11.34,,0.4725,,,,,,,not applicable (no order-grain segment reported),nan | R&D: nan,GitHub chess99/trading-os 600354/2026-07-16.md (confidence: 低)
万向德农 (600371),2025,1.98,,0.0554,,,,,,,not applicable (no order-grain segment reported),nan | R&D: nan,GitHub chess99/trading-os 002041/2026-07-12.md (confidence: 低)
隆平高科 (000998),2025,84.77,,1.66,,,,,,,not applicable (no order-grain segment reported),玉米种子收入约50.40亿；2025年完成12亿元定增(中信农业) | R&D: 2019年研发投入4.2亿(13.15%，旧数据),GitHub chess99/trading-os 000998/2026-07-11.md 转引 https://pdf.dfcfw.com/pdf/H3_AP202604211821362286_1.pdf (confidence: 低-中)
